text,name,key,value
Tom is grieving for his wife Anna who died in a car accident.,Tom,"gender,wife's name,Anna's","male,Anna,husband"
George's daughter is named Mina.,George,"daughter's name,Mina's","Mina,father"
Mason Nazerick is Angelina Nazerick's husband.,Angelina Nazerick,"husband's name,Mason's","Mason Nazerith,wife"
Caroline Grayson is Ashley's identical twin sister.,Caroline Grayson,"gender,sister's name,Ashley's","female,Ashley,identical twin sister"
Joanna Daniels is Ted Daniels' wife who works as an engineer for NASA.,Ted Daniels,"Joanna's,wife's name","husband,Joanna"
Andrew Anderson is Greta's reliable brother who helps out with their youngest sibling as much as he can.,Greta,"brother's name,Andrew's","Andrew Anderson,sister"
Kathleen O'Brien is Shannon's mother.,Shannon,"mother's name,Kathleen's","Kathleen O'Brien,daughter"
Brian Hamilton is Alexandra Hamilton's husband.,Alexandra Hamilton,"husband's name,Brian's","Brian Hamilton,wife"
William Stevens is Janna's estranged father.,Janna Stevens,"father's name,William's","William Stevens,daughter"
Renata Turner is Ash Turner's wife.,Ash Turner,"wife's name,Renata's","Renata Turner,husband"
Borek Helma is the son of Katie Helma.,Katie Helma,"son's name,Borek's","Borek Helma,mother"
Selma Vincenti is Nora's friend who recently got engaged to Bill.,Nora Johnson,"friend's name,Selma's","Selma Vincenti,friend"
Victoria Sieffre is Timothy Sieffre's mother.,Timothy Sieffre,"mother's name,Victoria's","Victoria Sieffre,son"
Seohyun Park is Julio Sanchez's girlfriend.,Julio Sanchez,"girlfriend's name,Seohyun's","Seohyun Park,boyfriend"
Tamara Audra is Addison Audra's older sister.,Addison Audra,"sister's name,Tamara's","Tamara Audra,younger brother"
Lily Price is nine years old and the older sister of Mariella Price.,Lily Price,"gender,age,sister's name,Mariella's","female,nine,Mariella Price,older sister"
Emily Carpenter is a 17-year-old girl who is dealing with the death of her father.,Emily Carpenter,"gender,age","female,17"
John is a devoted husband and father.,John Moraby,gender,male
Joey had been writing love letters to his wife Mira throughout his deployment.,Joey,"gender,wife's name,Mira's","male,Mira,husband"
Jane is married to John Smith and they have been together since high school.,Jane Smith,"husband's name,John's","John Smith,wife"
Brenton Goldman is Sarah's father.,Brenton Goldman,"gender,Sarah's,daughter's name","male,father,Sarah"
Shane West is Becky West's older brother.,Becky West,"brother's name,Shane's","Shane West,younger sister"
John Doe is Jane Doe's father.,Jane Doe,"father's name,John's","John Doe,daughter"
Becca Sullivan is Jason's younger daughter and Cassie's sister who stayed behind at their family's compound,Jason,"daughter's name,Becca's,Cassie's","Becca Sullivan and Cassie,father,father"
Nolan Moore is Shannon's boss at the newspaper where she works as a reporter.,Shannon Rourke,"gender,boss's name,Nolan's","female,Nolan Moore,employee"
Jacob Stein is Joseph's boss at the newspaper where he works as an editor.,Jacob Stein,"Joseph's,employee's name","boss,Joseph"
Sarah Lincoln is a four-year-old girl who is the daughter of Mary Lincoln.,Sarah Lincoln,"gender,age,Mary's,mother's name","female,four,daughter,Mary Lincoln"
Timmy Reed is a six-year-old boy who lost his father and is struggling to adjust to his new home.,Timmy Reed,"gender,age","male,six"
"Johnny is a friendly and outgoing person, and he loves spending time with his sister Mira.",Johnny,"gender,sister's name,Mira's","male,Mira,brother"
Anne Robbins is a teenage girl who is Professor Plum's granddaughter.,Anne Robbins,"gender,age,Professor Plum's,grandfather's name","female,teenage,granddaughter,Professor Plum"
Margot Carson is Connor's grandmother.,Margot Carson,"gender,Connor's,grandson's name","female,grandmother,Connor"
Colin Adams is Margaret's father and Serena's husband.,Colin Adams,"gender,Margaret's,daughter's name,Serena's,wife's name","male,father,Margaret,husband,Serena"
Alonso Alvarez is Jacob and Maya's father.,Maya Alvarez,"father's name,Alonso's,brother's name,Jacob's","Alonso Alvarez,daughter,Jacob,sister"
